header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2,answerEN3,answerAR3,value3,answerEN4,answerAR4,value4
Q120,I don't think people need to know exactly how I feel.,لا أعتقد أن الناس بحاجة إلى معرفة ما أشعر به بالضبط.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q121,I am more persistent than most people I know.,أنا أكثر إصرارًا من معظم الأشخاص الذين أعرفهم.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q122,"Every day, I take time to reflect on the things that have happened to me.",كل يوم، أخصص وقتًا للتفكير في الأمور التي حدثت لي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q123,I feel awkward being in front of many people.,أشعر بعدم الارتياح عندما أكون أمام العديد من الأشخاص.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q124,I can easily rearrange my schedule if the situation suddenly changes.,يمكنني بسهولة إعادة ترتيب جدولي إذا طرأت تغيرات مفاجأة.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q125,People like to share their goals with me because I can suggest a way to achieve them.,يحب الناس مشاركة أهدافهم معي لأنني أستطيع أن اقترح طريقة لتحقيقها.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q126,"If there's a chance things could go wrong, I'd rather not go ahead.",إن كان من المحتمل أن تفشل الخطة، أفضل عدم المضي قدماً.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q127,I catch myself thinking about personal issues during work.,أجد نفسي أفكر في مشاكلي الشخصية أثناء العمل.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q128,I often feel like I'm not able to show how capable I am.,في الغالب، أشعر أنني غير قادر على إظهار مدى كفاءتي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q129,People can easily tell when I'm not feeling well.,عندما أكون لست بحالة جيدة، يمكن للآخرين بسهولة ملاحظة ذلك.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q130,I can stay concentrated for longer than most people.,يمكنني المحافظة على تركيزي لفترة أطول من معظم الناس.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q131,I search for significant meaning in everything throughout the day.,أبحث عن المعنى الأكبر وراء كل شيء على مدار اليوم.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q132,It is very difficult to intimidate me.,من الصعب جداً إخافتي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q133,My failures happen because I rely too much on other people.,إخفاقاتي سببها اعتمادي الكبير على الآخرين.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q134,I always visualize what needs to be done to accomplish my goals.,أتصور دائماً ما يجب القيام به لتحقيق أهدافي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q135,Experiences with risk are often stimulating.,غالباً ما تكون التجارب المحفوفة بالمخاطر محفزة.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q136,I never question my skills.,لا أشكك أبداً بمهاراتي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q137,I find it difficult to hide my emotions.,أجد صعوبة في إخفاء مشاعري.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q138,I can easily lose control when I'm stressed.,يمكنني أن أفقد السيطرة بسهولة عندما أكون تحت الضغط.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q139,I can continue working long after I feel exhausted.,يمكنني الاستمرار في العمل لفترة طويلة بعد أن أشعر بالإرهاق.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q140,Even negative events can teach you something.,حتى الأحداث السلبية يمكن أن تعلمك شيئاً ما.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q141,I don't hesitate to ask questions if I don't understand something.,لا أتردد في طرح الأسئلة إذا لم أفهم شيئاً ما.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q142,I tend to perform worse when I have too many things to do.,أميل إلى تقديم أداء أسوأ عندما يكون هنالك الكثير من الأشياء التي يجب علي القيام بها.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q143,I often rely on someone to set up the steps to achieve my targets.,في الغالب، أعتمد على شخص آخر لإعداد الخطوات اللازمة لتحقيق أهدافي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q144,A bit of danger makes things more exciting.,قليل من الخطر يجعل الأمور أكثر حماسًا.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q145,I am more capable than the people I know.,لدي قدرات أكثر من قدرات الأشخاص الذين أعرفهم.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q146,Anyone can notice if I'm feeling down.,يمكن لأي شخص أن يلاحظ ما إذا كنت أشعر بالإحباط.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q147,I frequently miss deadlines.,في أغلب الأحيان، أفوت المواعيد النهائية.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q148,You can learn more from your failures than from your successes.,يمكنك أن تتعلم من إخفاقاتك أكثر من نجاحاتك.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q149,I prefer to avoid social situations.,أُفضل تجنب المواقف الاجتماعية.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q150,I would rather search for information myself than ask questions.,أفضل البحث عن المعلومات بنفسي بدلا من طرح الأسئلة.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q151,"After all, nothing seems to depend on me.",في النهاية، لا يبدو أن هناك شيئاً يعتمد علي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q152,Everybody makes New Year's resolutions that they don't follow.,يقوم الجميع بوضع قرارات للسنة الجديدة ولكنهم لا يتبعونها.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q153,Taking risks make life more interesting.,الإقدام على المخاطرة يجعل الحياة أكثر إثارة للاهتمام.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q154,I believe I am a very competent person.,أعتقد أنني شخص كفء جدًا.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q155,I am constantly tired during the day.,أشعر بالتعب باستمرار خلال النهار.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q156,I tend to think less and act more when I'm frustrated.,أميل إلى التفكير بشكلٍ أقل والتصرف بشكلٍ أسرع عندما أشعر بالإحباط.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q157,I get bored quickly while doing something.,أشعر بالملل بسرعة أثناء القيام بشيء ما.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q158,Errors show you how to do things better next time.,تعلّمك الأخطاء كيفية القيام بالأمور بشكل أفضل في المرة القادمة.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q159,I feel uncomfortable to ask questions in front of other people.,أشعر بعدم الارتياح عند طرح الأسئلة أمام الآخرين.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q160,I often feel like I cannot control what's happening in my life.,أشعر في كثيرٍ من الأحيان بأنني لا أستطيع السيطرة على ما يحدث في حياتي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q161,"I enjoy chatting with others, even if we've just met.",أستمتع بالتحدث مع الآخرين، حتى لو كنا قد تعارفنا للتو.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q162,I can give advice to people on how to have a healthy lifestyle.,أستطيع تقديم نصائح للناس حول كيفية اتباع نمط حياة صحي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q163,"For important choices, I try to ensure there's no risk involved.",عند اتخاذ قرارات مهمة،  أحاول التأكد من عدم وجود أي مخاطر.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q164,I never hesitate to express my opinion.,لا أتردد أبداً في التعبير عن رأيي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q165,"When I am upset, I make an effort to hide it from others.",عندما أكون مستاء، أبذل جهداً لإخفاء ذلك عن الآخرين.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q166,I like to mix my main duties with less important activities to avoid boredom.,أحب أن أدمج مهامي الرئيسية مع أنشطة أقل أهمية لتجنب الملل.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q167,I always give back what I've borrowed.,دائمًا أرجع الأشياء اللي أستعرتها.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q168,I try to reflect on everything that comes my way.,أحاول التفكير بكل التجارب التي تحصل معي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q169,I can talk my way out of any trouble.,أستطيع استخدام مهاراتي في الحديث للخروج من أي مشكلة.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q170,I need a lot of encouragement to do well.,أحتاج إلى الكثير من التشجيع للقيام بعمل جيد.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q171,"When I want to accomplish something, I always start by visualizing the results.",عندما أريد تحقيق شيء ما، ابدأ دائما بتصور النتائج.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q172,I frequently wake up during the night.,أستيقظ كثيرًا أثناء الليل.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q173,"When making plans, I always try to predict all potential failures.",عند وضع الخطط، أحاول دائما التنبؤ بجميع الأخطاء المحتملة.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q174,I often think I look incompetent even in my area of expertise.,في أغلب الأحيان، أعتقد أنني أبدو غير كفء حتى في مجال خبرتي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q175,I always pay attention to my appearance in front of others.,دائما ما انتبه إلى مظهري أمام الآخرين.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q176,People say I often keep going even when it doesn't make sense.,يقول الناس أنني استمر كثيراً في المحاولة حتى عندما يبدو ذلك غير منطقي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q177,Everything that happens to you is a learning opportunity.,كل ما يحدث لك هو فرصة للتعلم.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q178,I can ask strangers for help without hesitation.,يمكنني أن أطلب المساعدة من الغرباء دون تردد.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
