header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2
Q84,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I prefer tasks that have clear, achievable outcomes.",أفضل المهام التي لها نتائج واضحة وقابلة للتحقيق.,1,I enjoy tasks that allow for creative exploration and new ideas.,أستمتع بالمهام التي تسمح بالاستكشاف الإبداعي والأفكار الجديدة.,2
Q85,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Others don't always see what I'm passionate about.,في العادة، لا يرى الآخرون ما أشعر بشغف تجاهه.,1,I am known for my enthusiasm and excitement.,أنا معروف بحماسي ونشاطي.,2
Q86,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m always open to hearing and discussing new ideas.,أنا منفتح دائماً لسماع ومناقشة الأفكار الجديدة.,1,I build upon existing concepts that work well.,أضيف وأبني على المفاهيم الحالية التي تم إثبات فائدتها.,2
Q87,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,My strengths lie in listening more than talking.,تكمن نقاط قوتي في الاستماع أكثر من التحدث.,1,People describe me as being outgoing and sociable.,يصفني الناس بأنني شخص منفتح واجتماعي.,2
Q88,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Working with others energises me.,إن العمل مع الآخرين يشجعني.,1,I work better alone than with others.,أعمل بمفردي بشكل أفضل من العمل مع الآخرين.,2
Q89,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I benefit from a more gradual and structured approach to learning.,أحقق استفادة أكبر من منهج تعليمي منظم ومتدرج.,1,"I am able to apply newly acquired skills, immediately after learning them.",أنا قادر على تطبيق المهارات مباشرة بعد اكتسابها.,2
Q90,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I will acknowledge when I am wrong, privately and publicly.",أعترف بخطئي سواء كان ذلك بشكل خاص أو علني.,1,I like to make people pay when they treat me badly.,أميل إلى رد الاعتبار عندما يعاملني الآخرون بشكل غير لائق.,2
Q91,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t push people beyond their comfort zones.,لا أدفع الأشخاص لتجاوز حدود راحتهم الشخصية.,1,I like to test the boundaries of other people.,أميل إلى تحدي حدود صبر الناس وأرى ردود أفعالهم.,2
Q92,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m always careful about what I tell people.,أنا دائماً حذر في ما أقوله للناس.,1,"I easily open up to people, even if I don’t know them well.",أحب أن أفضفض إلى الناس، حتى لو كنت لا أعرفهم جيداً.,2
Q93,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy the things that are dangerous and may get others into trouble.,أستمتع بالأشياء الخطرة التي قد تسبب المشاكل للآخرين.,1,"I follow the rules, even if it is in my best interests not to.",ألتزم بالقواعد حتى لو كان من مصلحتي عدم القيام بذلك.,2
Q94,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy outsmarting people.,أجد متعة في أن أكون أذكى من الآخرين في المواقف المختلفة.,1,I don’t feel the need to compete with others.,لا أشعر بالحاجة للمنافسة مع الآخرين.,2
Q95,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I know personal details about most of the people I know.,اعرف تفاصيل شخصية عن معظم الأشخاص الذين اعرفهم.,1,I often forget things people tell me about themselves.,في الغالب، أنسى الأشياء التي يخبرني بها الناس عن أنفسهم.,2
Q96,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It's important to me to act with sincerity.,من المهم بالنسبة لي أن أتصرف بصدق وصراحة.,1,It is OK to pretend to like someone to get ahead.,لا بأس بالتظاهر بأنك تحب شخصاً ما لتحقيق مصلحة أو تقدّم.,2
Q97,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I usually act the same in all situations.,في العادة، أتصرف بنفس الطريقة في جميع المواقف.,1,I adapt my image to fit different situations.,أقوم بتغيير صورتي أو أسلوبي بما يتناسب مع المواقف المختلفة.,2
Q98,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I know things about others that I can use if I need to.,أعرف أشياء عن الآخرين يمكنني استخدامها إذا لزم الأمر.,1,I don’t use personal information about others to achieve my goals.,لا أستخدم معلومات الآخرين الشخصية لتحقيق أهدافي.,2
Q99,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I focus on presenting my best side to others.,أركز على تقديم أفضل صورة عن نفسي للآخرين.,1,I cannot hide my flaws from people.,لا يمكنني إخفاء عيوبي عن الناس.,2
Q100,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I would be upset if my success was unfair to others.,أنزعج إذا كان نجاحي غير عادلاً بالنسبة للآخرين.,1,I prioritise winning over everything.,أضع الفوز في مقدمة أولوياتي فوق كل شيء.,2
Q101,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I wouldn’t pretend to like someone in order to get ahead.,لن أتظاهر بأنني أحب شخصاً ما لتحقيق غاية معينة.,1,I tell people what they want to hear if it serves my purpose.,أقول للناس ما يريدون سماعه إذا كان ذلك يخدم هدفي.,2
Q102,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People can be kind without expecting anything.,يمكن للناس أن يكونوا طيبين دون توقع أي شيء في المقابل.,1,"If someone’s nice, they usually want something.",إذا كان شخص ما لطيفا، فإنه عادةً يريد شيئاً ما.,2
Q103,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t mind breaking some rules as long as I don’t get caught.,لا أرى مانعًا في كسر بعض القواعد إذا لم يتم القبض علي.,1,Rules give me space to focus on things that matter to me.,تمنحني القواعد مساحة للتركيز على الأمور التي تهمني.,2
Q104,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It's okay to befriend someone if it helps me reach my goals.,لا بأس في تكوين صداقة مع أحدٍ ما إذا كان ذلك سيساعدني في تحقيق أهدافي.,1,"I find it hard to mislead someone, even if there is something to gain from it.",أجد أنه من الصعب علي أن أوهم أحدًا بغير الحقيقة، حتى لو كان في ذلك منفعة لي.,2
Q105,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m strategic about who I make friends with.,أنا استراتيجي في اختيار الأشخاص الذين أقوم بتكوين صداقات معهم.,1,I don't overthink when connecting with people.,لا أبالغ في التفكير عند التواصل أو التحدث مع الناس.,2
Q106,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"Before I do anything, I consider the impact on others.",قبل أن أفعل أي شيء، أنظر إلى تأثير ذلك على الآخرين.,1,I have no sympathy for people when they face hardships.,لا أتعاطف مع الناس عندما يواجهون المصاعب.,2
Q107,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I like to provoke other people just for the fun of it.,أحب أن أستفز الآخرين لمجرد التسلية.,1,I believe that everyone's rights are equally important.,أعتقد أن حقوق الجميع متساوية في الأهمية.,2
Q108,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I try hard not to disappoint people.,أحاول جاهداً أن لا أخيب آمال الآخرين.,1,"I can talk other people into doing things for me, even if they don’t want to.",أستطيع إقناع الآخرين بالقيام بأشياء من أجلي، حتى لو لم يرغبوا بذلك.,2
Q109,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I feel a need to stand out.,أشعر بالحاجة إلى أن أكون متميزاً عن غيري.,1,I don't show off my accomplishments.,لا أتفاخر بإنجازاتي.,2
Q110,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It is important to get things done without over-thinking things.,من المهم إنجاز الأمور دون المبالغة في التفكير بها.,1,I tend to consider the consequences of my actions.,أميل إلى النظر في عواقب أفعالي.,2
Q111,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,My own happiness takes precedence over the needs of others.,سعادتي أنا لها الأولوية على احتياجات الآخرين.,1,I prioritise the welfare of others over my own.,أعطي الأولوية لراحة الآخرين على حساب مصلحتي الشخصية.,2
Q112,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I believe that everybody has opinions that should be respected.,أعتقد أن لدى الجميع آراء يجب احترامها.,1,"I do not care if someone gets upset, as long as I get what I want.",لا أهتم إذا غضب شخص ما، طالما تمكنت من الحصول على ما أريد.,2
Q113,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Honesty is the best policy in all cases.,الصدق هو السياسة الأفضل في جميع الحالات.,1,I will explain my motives only if it serves my purpose.,أشرح دوافع أفعالي فقط عندما يخدم ذلك هدفي.,2
Q114,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy the excitement of taking risks.,أحب التشويق الذي يأتي مع المجازفة.,1,I prefer to avoid unnecessary risks.,أفضل تجنب المخاطر غير الضرورية.,2
Q115,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"If you treat people well, you will get the best from them.",إذا أحسنت معاملة الناس، سترى منهم أفضل ما فيهم.,1,It is necessary to use tricks to make people work hard.,من الضروري استخدام الحِيَل لدفع الناس إلى بذل الجهد في العمل.,2
Q116,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I get upset when someone is having problems.,أشعر بالانزعاج عندما يواجه شخص المشاكل.,1,I can stay detached when others struggle.,أستطيع أن أبقى غير متأثرًا عندما يمر الآخرون بالمشاكل.,2
Q117,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I behave in line with my values, even if it is disadvantageous to do so.",أتصرف بما يتماشى مع قيمي، حتى لو كان ذلك لا يخدم مصلحتي.,1,I can use other people to get what I want.,يمكنني استخدام الآخرين للحصول على ما أريد.,2
Q118,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I like it when people around tell me I am special.,أحب أن يكون حولي أشخاص يخبرونني بأنني مميز.,1,I get uncomfortable when people praise me or give me compliments.,أشعر بعدم الراحة عندما يمدحني الناس أو يوجهون إليّ الثناء.,2
Q119,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t like it when people get in my way.,لا أحب عندما يقف الناس في طريقي.,1,I don’t mind when people slow me down.,لا أمانع عندما يقوم الناس بإبطائي.,2
Q120,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I am skilled at winning people over.,أنا ماهر في كسب محبّة الناس.,1,I let people form their own impression of me.,أسمح للناس تكوين انطباعهم الخاص عني.,2
Q121,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,My driving goals are success and power.,هدفي الذي يشجعني بالاستمرار هو تحقيق النجاح والحصول على القوة.,1,It’s OK if others aren’t impressed by me.,لا بأس إذا لم ينبهر الآخرون بإنجازاتي.,2
Q122,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"Rules should be followed, even when inconvenient.",يجب اتباع القواعد، حتى عندما تكون غير مناسبة لي.,1,Breaking rules is sometimes necessary to get ahead.,من الضروري أحيانا كسر القواعد للمضي قدماً.,2
Q123,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Building a positive image is the most important thing in life.,بناء صورة أو انطباع إيجابي عني هو أهم شيء في الحياة.,1,Things will develop on their own when you do your job.,ستتطور الأمور من تلقاء نفسها عندما تقوم بعملك.,2
Q124,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I downplay my achievements.,أقلل من شأن إنجازاتي.,1,I fantasise about unlimited success or power.,أحلم بتحقيق نجاحات أو الحصول قوة غير محدودة.,2
Q125,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I focus on what benefits me, even if others don’t like it.",أركز على ما يفيدني، حتى لو لم يحب الآخرون ذلك.,1,I turn down opportunities that would benefit me at the cost of others.,أمتنع عن قبول الفرص التي قد تفيدني على حساب الآخرين.,2
Q126,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I know how to turn situations in my favor.,أعرف كيف أغير المواقف لمصلحتي.,1,I let situations unfold naturally.,أدع الأحداث تأخذ مجراها الطبيعي.,2
Q127,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People act rude because they have their own problems.,يتصرف الناس بطريقة غير مهذبة لأن لديهم مشاكلهم الخاصة.,1,"If someone is rude to me, I treat them the same way.",إذا عاملني شخص بطريقة غير مهذبة، فأنا أتعامل معه بنفس الطريقة.,2
Q128,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I usually give people the benefit of the doubt.,غالباً أُحسن الظن بالناس.,1,I’m always selective about who I trust.,أحرص دائمًا على انتقاء الأشخاص الذين أضع ثقتي فيهم.,2
Q129,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It makes sense that I should be the one in control.,من المنطق أن أكون أنا الشخص المسيطر.,1,Other people may be far better leaders than me.,قد يؤدي الآخرون دوراً قيادياً أفضل مني بكثير.,2
Q130,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I get restless when things move slowly.,أصبح غير صبور عندما تسير الأمور ببطء.,1,I’m fine waiting for things to happen on their own.,لا أمانع الانتظار حتى تحدث الأمور من تلقاء نفسها.,2
Q131,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t think about the impression I make.,لا أفكر في الانطباع الذي أتركه لدى الآخرين.,1,It is important to know how others perceive me.,من المهم أن أعرف كيف يراني الآخرون.,2
Q132,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Being recognised is important for me.,من المهم بالنسبة لي أن أكون معروفاً.,1,I’m content when my work speaks for itself.,أنا راضٍ عندما يتحدث عملي عن نفسه.,2
Q133,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I enjoy taking risks, no matter the outcome.",أستمتع بالمجازفة، بغض النظر عن النتيجة.,1,"If I’m unsure about something, I prefer to play it safe.",إذا كنت غير متأكد من شيء ما، ختار أن أتصرف بحذر.,2
Q134,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It’s important for me how others see me.,من المهم بالنسبة لي كيف يراني الآخرون.,1,I don’t necessarily try to make people feel good about me.,لا أحاول بالضرورة أن أجعل الناس يشعرون بالرضا عني.,2
Q135,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I bring up my achievements only if it’s strictly relevant.,لا أطرح إنجازاتي إلا إذا كانت ذات صلة.,1,I am more capable than most people.,أنا أكثر قدرة من معظم الناس.,2
Q136,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Sometimes I can’t stop regretting my failures.,في بعض الأحيان لا أستطيع إيقاف الشعور بالندم على تجاربي الفاشلة.,1,I don’t think about my past mistakes.,لا أفكر بأخطائي السابقة.,2
Q137,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,The majority of people are genuine and authentic.,معظم الناس صادقون ونواياهم صافية.,1,Most people will use you if you let them.,سيستغلك معظم الناس إذا سمحت لهم بذلك.,2
Q138,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"Whatever I do, I believe it will be successful.",مهما أفعل، أعتقد أنني سأنجح.,1,I can never be sure whether my efforts will turn out well.,لا يمكنني أبداً أن أكون متأكداً من أنّ جهودي ستؤدي إلى نتيجة جيدة.,2
Q139,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I focus on getting ahead, even if others don’t like it.",أركز على المضي قدماً، حتى لو لا يحب الآخرون ذلك.,1,I can give up a personal goal if it negatively affects others.,يمكنني التخلي عن أحد أهدافي الشخصية إذا كان هذا الهدف يؤثر سلباً على الآخرين.,2
Q140,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I keep good connections that help me reach my goals.,أحافظ على علاقات جيدة مع الأشخاص لتساعدني على تحقيق أهدافي.,1,I feel uncomfortable reaching out to influential people.,أجد صعوبة في التواصل مع الأشخاص المعروفين أو المؤثرين.,2
Q141,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I avoid drawing people's attention to my accomplishments.,أتجنب لفت انتباه الناس إلى إنجازاتي.,1,I like it when others compliment me on my success.,أحب عندما يمدح الناس إنجازاتي.,2
Q142,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m usually the first to step in when someone can’t speak up for themselves.,في العادة، أكون أول من يتدخل عندما لا يتمكن شخص ما من الدفاع عن نفسه.,1,People don’t get help if they can’t stand up for themselves.,لا يحصل الناس على المساعدة إذا لم يتمكنوا من الدفاع عن أنفسهم.,2
Q143,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I often discuss my goals with other people.,في الغالب، أناقش أهدافي مع الآخرين.,1,"I don’t share my goals, as others might obstruct them.",لا أشارك أهدافي، إذ قد يعرقلها الآخرون.,2
Q144,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t feel the need to talk about my successes.,لا أشعر بالحاجة للتحدث عن نجاحاتي.,1,I am born to be famous.,لقد ولدت لأكون مشهوراً.,2
Q145,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I can enjoy quiet and routine activities.,يمكنني الاستمتاع بالأنشطة الهادئة والروتينية.,1,I need constant stimulation not to get bored.,أحتاج إلى تحفيزٍ مستمر حتى لا أشعر بالملل.,2
Q146,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It’s worth giving people a chance.,يستحق الناس إعطائهم الفرص.,1,Trusting too easily leads to trouble.,منح الثقة للناس بسهولة يؤدي إلى المشاكل.,2
Q147,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t insist that others accept my views.,لا أُصِرّ على أن يقبل الآخرون وجهات نظري.,1,People always take my opinions seriously.,يأخذ الناس آرائي دائماً على محمل الجد.,2
Q148,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"When I feel like doing something, I drop what I’m doing and go for it.",إذا رغبت في القيام بشيء، أترك ما بيدي وأبدأ به فورًا.,1,What you want will come with time if you’re patient.,ما تريده سيأتي مع مرور الوقت إذا كنت صبوراً.,2
Q149,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m good at reading between the lines.,أجيد فهم ما يُقصد من بين السطور.,1,I prefer clear and direct talks.,أفضل المحادثات الواضحة والمباشرة.,2
Q150,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People naturally perceive me as a leader.,يراني الناس قائدًا بطبيعتي.,1,I usually let others take the initiative.,في العادة، أترك لغيري فرصة المبادرة.,2
Q151,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"If I want something, I try to get it right away.",إذا أردتُ شيئا ما، أحاول الحصول عليه على الفور.,1,I wait for the right moment before making a move.,انتظر اللحظة المناسبة قبل أن أتخذ أي قرار.,2
Q152,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I let people form their own opinions about me.,اسمح للناس بتكوين آرائهم الخاصة عني.,1,I try to manage how people think of me.,أبذل جهدًا لأؤثر في الطريقة التي يراني بها الناس.,2
Q153,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I’m content with doing good work, even if no one notices.",يكفيني أن أؤدي عملي بشكلٍ جيد، حتى لو لم يلاحظ أحد ذلك.,1,I feel proud when people admire my work.,أشعر بالفخر عندما يقدر الناس عملي.,2
Q154,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I easily get upset when I see someone feeling down.,أشعر بالانزعاج بسهولة عندما أرى شخصاً يشعر بالإحباط.,1,I don’t get easily affected by other people’s emotions.,لا أتأثر بسهولة بمشاعر الآخرين.,2
Q155,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I can’t always read people’s behaviour.,لا أستطيع دائماً قراءة أو فهم سلوك الناس.,1,I easily navigate situations full of subtext.,أجيد التعامل بسهولة مع المواقف التي تحمل الكثير من المعاني الخفية.,2
Q156,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t think others notice or praise me.,أشعر أن الآخرين لا يلتفتون إليّ ولا يوجهون لي المديح.,1,People naturally admire my qualities.,يعجب الناس غالباً بصفاتي.,2
Q157,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I avoid hurting others’ feelings at all costs.,أتجنب إيذاء مشاعر الآخرين مهما كانت الظروف.,1,"I speak my mind, even when it upsets someone.",أعبر عن رأيي بصراحة، حتى لو أزعج ذلك الآخرون.,2
Q158,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I trust that influential people will notice my worth someday.,أنا واثق من أن الأشخاص المؤثرين سيلاحظون قيمتي يوما ما.,1,I try to meet important people to present myself.,أحاول مقابلة أشخاص مهمين لأعرفهم بنفسي.,2
Q159,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Being the centre of attention comes effortlessly to me.,أن أكون محط الاهتمام أمر طبيعي بالنسبة لي.,1,I don’t mind if others take the spotlight.,لا أمانع إذا كان غيري هو محط الاهتمام.,2
Q160,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don’t mind breaking rules to succeed.,لا أمانع تجاوز القواعد إذا كان ذلك يؤدي إلى النجاح.,1,"I follow the rules, even if it takes longer.",أتبع القواعد، حتى لو استغرق الأمر وقتاً أطول.,2
Q161,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m careful about what I reveal to others.,أتوخى الحذر فيما أكشفه عن نفسي للآخرين.,1,I’m open and share most things about myself.,أنا منفتح وأشارك معظم الأشياء عن نفسي.,2
Q162,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I believe I’m more talented than most people at work.,أعتقد أنني أكثر موهبة من معظم الناس في العمل.,1,"I’m an ordinary person, who does what is needed.",أنا شخص عادي، أقوم بما هو مطلوب.,2
Q163,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I feel calm in risky or stressful situations.,أشعر بالهدوء في المواقف الخطرة أو المُجهِدة.,1,I prefer to avoid risky or uncertain situations.,أفضل تجنب المواقف الخطرة أو غير المضمونة.,2
Q164,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People usually act as a favor for a favor.,غالبًا يكون سلوك الناس قائمًا على تبادل المنافع، مبدأ المثل بالمثل.,1,Some do favors just to be helpful.,بعض الناس يؤدّون المعروف فقط بدافع المساعدة.,2
Q165,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m fine if my efforts go unnoticed.,ليست لدي مشكلة إذا لم يتم ملاحظة مجهودي.,1,I insist on being acknowledged for my contributions.,أصر على أن يتم الاعتراف بمساهماتي.,2
Q166,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I don’t feel bad if my actions hurt others, as long as I’m right.",لا أشعر بالسوء إذا كانت أفعالي تضر الآخرين، طالما أنني على حق.,1,"Even when I’m right, I feel bad if I hurt others' feelings.",حتى عندما أكون على حق، أشعر بالسوء إذا جرحت مشاعر الآخرين.,2
